city,lat,lng,country,iso2,admin,capital,population,population_proper
Gwangjeok,37.825663,126.983491,"Korea, South",KR,Gyeonggi,minor,,
Tanhyeon,37.802402,126.715976,"Korea, South",KR,Gyeonggi,minor,,
Paju,37.832778,126.816944,"Korea, South",KR,Gyeonggi,minor,,
Changwon,35.228056,128.681111,"Korea, South",KR,Gyeongnam,admin,,
Hancheolli,34.97411,127.000284,"Korea, South",KR,Jeonnam,minor,,
Waegwan,35.992512,128.397851,"Korea, South",KR,Gyeongbuk,minor,,
Pocheon,37.89444,127.19917,"Korea, South",KR,Gyeonggi,minor,,
Jangan,35.312958,129.242435,"Korea, South",KR,Busan,minor,,
Tongjin,37.691913,126.59855,"Korea, South",KR,Gyeonggi,minor,,
Dongnae,35.201585,129.084766,"Korea, South",KR,Busan,minor,,
