"city, province_name",lat,lng,population,density
"Kitimat, British Columbia",54.0000,-128.7000,8131,34.7
"Shelburne, Ontario",44.0833,-80.2000,8126,907.1
"Happy Valley, Newfoundland and Labrador",53.3396,-60.4467,8109.00,26.50
"Saint-Hippolyte, Quebec",45.9300,-74.0200,8083,67.0
"Castlegar, British Columbia",49.3256,-117.6661,8039,408.6
"Church Point, Nova Scotia",44.3333,-66.1167,8018,9.4
"Drumheller, Alberta",51.4636,-112.7194,7982,73.9
"Kirkland Lake, Ontario",48.1500,-80.0333,7981,30.4
"Argyle, Nova Scotia",43.8000,-65.8500,7899,5.2
"Torbay, Newfoundland and Labrador",47.6500,-52.7333,7899,212.1
"La Pêche, Quebec",45.6833,-75.9833,7863,13.4
"Banff, Alberta",51.1781,-115.5719,7847,1646.0
"Innisfail, Alberta",52.0333,-113.9500,7847,404.6
"Nicolet, Quebec",46.2167,-72.6167,7828,81.5
"Rockwood, Manitoba",50.2856,-97.2869,7823,6.5
"Drummond/North Elmsley, Ontario",44.9667,-76.2000,7773,21.2
"Dryden, Ontario",49.7833,-92.8333,7749,117.1
"Iqaluit, Nunavut",63.7598,-68.5107,7740.00,147.40
"Fort Frances, Ontario",48.6167,-93.4000,7739,303.4
"La Sarre, Quebec",48.8000,-79.2000,7719,51.9
"Trail, British Columbia",49.0950,-117.7100,7709,220.7
"Chandler, Quebec",48.3500,-64.6833,7703,18.4
"Stone Mills, Ontario",44.4500,-76.9167,7702,10.9
"Hanover, Ontario",44.1500,-81.0333,7688,763.8
"South-West Oxford, Ontario",42.9500,-80.8000,7664,20.7
"Acton Vale, Quebec",45.6500,-72.5667,7664,84.2
"Bromont, Quebec",45.3167,-72.6500,7649,66.9
"Beckwith, Ontario",45.0833,-76.0667,7644,31.8
"Goderich, Ontario",43.7333,-81.7000,7628,882.8
"Plympton-Wyoming, Ontario",43.0167,-82.0833,7576,23.8
"Central Huron, Ontario",43.6300,-81.5700,7576,16.9
"Rigaud, Quebec",45.4833,-74.3000,7566,74.1
"Louiseville, Quebec",46.2500,-72.9500,7517,120.1
"Chibougamau, Quebec",49.9167,-74.3667,7504,10.7
"Aylmer, Ontario",42.7667,-80.9833,7492,1197.6
"Delson, Quebec",45.3700,-73.5500,7462,982.6
"Kimberley, British Columbia",49.6697,-115.9775,7425,122.5
"Blandford-Blenheim, Ontario",43.2333,-80.6000,7399,19.4
"Bayham, Ontario",42.7333,-80.7833,7396,30.2
"Augusta, Ontario",44.7511,-75.6003,7353,23.4
"Puslinch, Ontario",43.4500,-80.1667,7336,34.2
"Beauport, Quebec",46.9667,-71.3000,7281,118.8
"Saint-Rémi, Quebec",45.2667,-73.6167,7265,92.2
"St. Marys, Ontario",43.2583,-81.1333,7265,583.5
"Drayton Valley, Alberta",53.2222,-114.9769,7235,235.5
"Ponoka, Alberta",52.6833,-113.5667,7229,417.1
"Labrador City, Newfoundland and Labrador",52.9500,-66.9167,7220,186.0
"Donnacona, Quebec",46.6747,-71.7294,7200,357.6
"Southgate, Ontario",44.1000,-80.5833,7190,11.4
"McNab/Braeside, Ontario",45.4500,-76.5000,7178,28.1
"Macdonald, Manitoba",49.6725,-97.4472,7162,6.2
"Hampstead, Quebec",45.4833,-73.6333,7153,3996.5
"Baie-Saint-Paul, Quebec",47.4500,-70.5000,7146,13.1
"Merritt, British Columbia",50.1128,-120.7897,7139,273.9
"Bluewater, Ontario",43.4500,-81.6000,7136,17.1
"East Zorra-Tavistock, Ontario",43.2333,-80.7833,7129,29.4
"Brownsburg, Quebec",45.6703,-74.4467,7122.00,28.80
"Stoneham-et-Tewkesbury, Quebec",47.1667,-71.4333,7106,10.6
"Asbestos, Quebec",45.7667,-71.9333,7096,239.1
"Huron-Kinloss, Ontario",44.0500,-81.5333,7069,16.0
"Coteau-du-Lac, Quebec",45.3000,-74.1800,7044,150.2
"The Blue Mountains, Ontario",44.4833,-80.3833,7025,24.5
"Whitewater Region, Ontario",45.7167,-76.8333,7009,13.0
"Edwardsburgh/Cardinal, Ontario",44.8333,-75.5000,6959,22.3
"Sainte-Anne-des-Monts, Quebec",49.1333,-66.5000,6933,26.3
"Old Chelsea, Quebec",45.5000,-75.7833,6909,60.7
"North Stormont, Ontario",45.2167,-75.0000,6873,13.3
"Alnwick/Haldimand, Ontario",44.0833,-78.0333,6869,17.25
"Peace River, Alberta",56.2339,-117.2897,6842,260.6
"Arran-Elderslie, Ontario",44.4000,-81.2000,6803,14.8
"Saint-Zotique, Quebec",45.2500,-74.2500,6773,268.8
"Val-Shefford, Quebec",45.3500,-72.5667,6711,56.7
"Douro-Dummer, Ontario",44.4500,-78.1000,6709,14.6
"Plessisville, Quebec",46.2167,-71.7833,6688,1546.0
"Ritchot, Manitoba",49.6647,-97.1167,6679,20.0
"Otonabee-South Monaghan, Ontario",44.2333,-78.2333,6670,19.2
"Shediac, New Brunswick",46.2167,-64.5333,6664,123.5
"Slave Lake, Alberta",55.2853,-114.7706,6651,460.5
"Port-Cartier, Quebec",50.0333,-66.8667,6651,6.0
"Saint-Lambert-de-Lauzon, Quebec",46.5865,-71.2271,6647.00,62.20
"Barrington, Nova Scotia",43.5646,-65.5639,6646,10.5
"Rocky Mountain House, Alberta",52.3753,-114.9217,6635,521.8
"Chatsworth, Ontario",44.3800,-80.8700,6630,11.1
"Stephenville, Newfoundland and Labrador",48.5500,-58.5667,6623,185.6
"Muskoka Falls, Ontario",45.1264,-79.5580,6588.00,8.30
"Devon, Alberta",53.3633,-113.7322,6578,460.2
"Yarmouth, Nova Scotia",43.8361,-66.1175,6518,616.9
"Boischatel, Quebec",46.9000,-71.1500,6465,308.8
"Parry Sound, Ontario",45.3333,-80.0333,6408,478.2
"Pointe-Calumet, Quebec",45.5000,-73.9700,6396,1382.4
"Beaubassin East / Beaubassin-est, New Brunswick",46.1726,-64.3122,6376.00,21.90
"Wainfleet, Ontario",42.9250,-79.3750,6372,29.3
"Cramahe, Ontario",44.0833,-77.8833,6355,31.4
"Beauceville, Quebec",46.2000,-70.7833,6354,37.9
"North Middlesex, Ontario",43.1500,-81.6333,6352,10.6
"Amqui, Quebec",48.4667,-67.4333,6322,52.3
"Sainte-Catherine-de-la-Jacques-Cartier, Quebec",46.8500,-71.6167,6319,52.1
"Clarenville, Newfoundland and Labrador",48.1566,-53.9650,6291,44.7
"Mont-Joli, Quebec",48.5800,-68.1800,6281,272.6
"Dysart et al, Ontario",45.2042,-78.4047,6280.00,4.20
"Wainwright, Alberta",52.8333,-110.8667,6270,688.7
"Contrecoeur, Quebec",45.8500,-73.2333,6252,102.2
"Beresford, New Brunswick",47.7181,-65.8794,6248.00,13.70
"Saint-Joseph-du-Lac, Quebec",45.5333,-74.0000,6195,149.7
"Hope, British Columbia",49.3858,-121.4419,6181,151.0
"Gimli, Manitoba",50.6619,-97.0297,6181,19.5
"Douglas, New Brunswick",46.2819,-66.9420,6154.00,4.30
"Saint-Apollinaire, Quebec",46.6167,-71.5167,6110,63.0
"Hindon Hill, Ontario",44.9333,-78.7333,6088,6.9
"Les Cèdres, Quebec",45.3000,-74.0500,6079,78.1
"La Broquerie, Manitoba",49.3994,-96.5103,6076,10.5
"Kent, British Columbia",49.2833,-121.7500,6067,35.9
"Tweed, Ontario",44.6000,-77.3333,6044,6.3
"Saint-Félix-de-Valois, Quebec",46.1700,-73.4300,6029,68.6
"Bay Roberts, Newfoundland and Labrador",47.5847,-53.2783,6012,249.9
"Melfort, Saskatchewan",52.8564,-104.6100,5992,405.4
"Bonnyville, Alberta",54.2667,-110.7500,5975,421.4
"Stettler, Alberta",52.3236,-112.7192,5952,453.0
"Saint-Calixte, Quebec",45.9500,-73.8500,5934,41.4
"Lac-Mégantic, Quebec",45.5833,-70.8833,5932,272.5
"Perth, Ontario",44.9000,-76.2500,5930,484.1
"Oliver Paipoonge, Ontario",48.3900,-89.5200,5922,16.9
"Humboldt, Saskatchewan",52.2019,-105.1231,5869,1783.4
"Charlemagne, Quebec",45.7167,-73.4833,5853,2704.0
"Pontiac, Quebec",45.5833,-76.1333,5850,13.1
"St. Paul, Alberta",53.9928,-111.2972,5827,674.2
"Petrolia, Ontario",42.8833,-82.1417,5742,452.8
"Southwest Middlesex, Ontario",42.7500,-81.7000,5723,13.4
"Front of Yonge, Ontario",44.5333,-75.8667,5710,20.3
"Vegreville, Alberta",53.4928,-112.0522,5708,405.4
"Sainte-Brigitte-de-Laval, Quebec",47.0000,-71.2000,5696,52.4
"Princeville, Quebec",46.1667,-71.8833,5693,29.3
"Verchères, Quebec",45.7833,-73.3500,5692,77.7
"The Pas, Manitoba",53.8250,-101.2533,5689,115.3
"Saint-Césaire, Quebec",45.4167,-73.0000,5686,68.1
"La Ronge, Saskatchewan",55.1000,-105.3000,5671,163.9
"Tay Valley, Ontario",44.8667,-76.3833,5665,10.3
"South Bruce, Ontario",44.0333,-81.2000,5639,11.6
"McMasterville, Quebec",45.5500,-73.2333,5615,1810.3
"Redcliff, Alberta",50.0792,-110.7783,5600,344.6
"Crowsnest Pass, Alberta",49.5955,-114.5136,5589.00,15.00
"Saint-Philippe, Quebec",45.3500,-73.4700,5495,88.5
"Richelieu, Quebec",45.4500,-73.2500,5467,176.2
"Notre-Dame-du-Mont-Carmel, Quebec",46.4833,-72.6500,5467,42.6
"L'Ange-Gardien, Quebec",45.5833,-75.4500,5464,25.0
"Sainte-Martine, Quebec",45.2500,-73.8000,5461,86.4
"Saint-Pie, Quebec",45.5000,-72.9000,5438,49.9
"Peachland, British Columbia",49.7736,-119.7369,5428,340.1
"Ashfield-Colborne-Wawanosh, Ontario",43.8667,-81.6000,5422,9.2
"Trent Lakes, Ontario",44.6667,-78.4333,5397,6.3
"Northern Rockies, British Columbia",59.0000,-123.7500,5393,0.063
"Cookshire, Quebec",45.3729,-71.6720,5393.00,18.20
"West St. Paul, Manitoba",50.0119,-97.1150,5368,61.1
"Windsor, Quebec",45.5667,-72.0000,5367,375.5
"L’Epiphanie, Quebec",45.8500,-73.4833,5353,2367.9
"Creston, British Columbia",49.0900,-116.5100,5351,626.8
"Smithers, British Columbia",54.7819,-127.1681,5351,514.9
"Cornwall, Prince Edward Island",46.2407,-63.2009,5348,189.7
"Meadow Lake, Saskatchewan",54.1242,-108.4358,5344,433.6
"Lanark Highlands, Ontario",45.0880,-76.5170,5338,5.1
"Sackville, New Brunswick",45.9000,-64.3667,5331,71.9
"Grand Falls, New Brunswick",47.0344,-67.7394,5326,294.4
"Cochrane, Ontario",49.0667,-81.0167,5321,9.9
"Marystown, Newfoundland and Labrador",47.1667,-55.1667,5316,85.8
"Sioux Lookout, Ontario",50.1000,-91.9167,5272,13.9
"Didsbury, Alberta",51.6658,-114.1311,5268,321.7
"Saint-Honoré, Quebec",48.5333,-71.0833,5257,27.8
"Fernie, British Columbia",49.5042,-115.0628,5249,388.8
"Deer Lake, Newfoundland and Labrador",49.1744,-57.4269,5249,71.7
"Woodstock, New Brunswick",46.1522,-67.5983,5228,356.7
"Val-David, Quebec",46.0300,-74.2200,5209,103.9
"Flin Flon, Saskatchewan",54.7667,-101.8778,5185,448.9
"Hudson, Quebec",45.4500,-74.1500,5165,234.5
"Gananoque, Ontario",44.3300,-76.1700,5159,733.6
"Brokenhead, Manitoba",50.1428,-96.5319,5122.00,6.80
"Saint-Paul, Quebec",45.9833,-73.4500,5122,103.7
"Burton, New Brunswick",45.8009,-66.4066,5119.00,19.80
"Spallumcheen, British Columbia",50.4462,-119.2121,5106.00,20.00
"Westlock, Alberta",54.1522,-113.8511,5101,381.4
"Témiscouata-sur-le-Lac, Quebec",47.6800,-68.8800,5096,23.3
"Shannon, Quebec",46.8833,-71.5167,5086,79.8
"Osoyoos, British Columbia",49.0325,-119.4661,5085,598.2
"Montréal-Ouest, Quebec",45.4536,-73.6472,5085,3614.6
"Hearst, Ontario",49.6869,-83.6544,5070,51.5
"Saint-Henri, Quebec",46.7000,-71.0667,5023,41.1
"Ste. Anne, Manitoba",49.6186,-96.5708,5003.00,10.50
"Antigonish, Nova Scotia",45.6167,-61.9833,5002,871.7
"Espanola, Ontario",46.2500,-81.7667,4996,60.3
"West Elgin, Ontario",42.5833,-81.6667,4995,15.5
"Flin Flon (Part), Manitoba",54.7712,-101.8419,4982.00,359.20
"Grand Bay-Westfield, New Brunswick",45.3608,-66.2415,4964,83.0
"Sainte-Anne-de-Bellevue, Quebec",45.4039,-73.9525,4958,473.0
"North Huron, Ontario",43.8300,-81.4200,4932,27.6
"Oliver, British Columbia",49.1844,-119.5500,4928.00,896.00
"Saint-Roch-de-l'Achigan, Quebec",45.8500,-73.6000,4892,60.6
"Stirling-Rawdon, Ontario",44.3667,-77.5917,4882,17.3
"Chisasibi, Quebec",53.6645,-78.7938,4872.00,5.90
"Carbonear, Newfoundland and Labrador",47.7375,-53.2294,4838,411.5
"Saint Marys, New Brunswick",46.1748,-66.4897,4837.00,6.40
"Chertsey, Quebec",46.1700,-73.9200,4836,16.8
"Armstrong, British Columbia",50.4483,-119.1961,4830,927.7
"Stonewall, Manitoba",50.1344,-97.3261,4809,802.8
"Shippagan, New Brunswick",47.8557,-64.6012,4800.00,23.10
"Lanoraie, Quebec",45.9667,-73.2167,4787,46.4
"Memramcook, New Brunswick",46.0000,-64.5500,4778,25.5
"Centre Hastings, Ontario",44.4167,-77.4417,4774,20.4
"Warwick, Quebec",45.9500,-71.9833,4766,43.3
"East Ferris, Ontario",46.2667,-79.3000,4750,30.6
"Hanwell, New Brunswick",45.8681,-66.7947,4750.00,31.40
"Saint-Joseph-de-Beauce, Quebec",46.3000,-70.8833,4722,42.6
"Metchosin, British Columbia",48.3819,-123.5378,4708,66.2
"Lucan Biddulph, Ontario",43.2000,-81.3833,4700,27.8
"Rivière-Rouge, Quebec",46.4167,-74.8667,4645,10.2
"Greenstone, Ontario",50.0000,-86.7333,4636,1.7
"Saint-Mathias-sur-Richelieu, Quebec",45.4667,-73.2667,4618,97.8
"Neepawa, Manitoba",50.2289,-99.4656,4609,206.5
"Gibsons, British Columbia",49.4028,-123.5036,4605,1066.0
"Kindersley, Saskatchewan",51.4678,-109.1567,4597,347.5
"Jasper, Alberta",52.9013,-118.1312,4590.00,5.00
"Barrhead, Alberta",54.1167,-114.4000,4579,560.4
"Les Coteaux, Quebec",45.2800,-74.2300,4568,393.2
"Melville, Saskatchewan",50.9306,-102.8078,4562,307.8
"Saint-Germain-de-Grantham, Quebec",45.8333,-72.5667,4551,51.9
"Iroquois Falls, Ontario",48.7667,-80.6667,4537,7.6
"Havelock-Belmont-Methuen, Ontario",44.5667,-77.9000,4530,8.3
"Cornwallis, Manitoba",49.7981,-99.8481,4520.00,9.00
"Saint-Boniface, Quebec",46.5000,-72.8167,4511,41.4
"Edenwold No. 158, Saskatchewan",50.5166,-104.3451,4490.00,5.30
"Coverdale, New Brunswick",46.0003,-64.8859,4466.00,18.90
"Vanderhoof, British Columbia",54.0143,-124.0089,4439,81.0
"Southwold, Ontario",42.7500,-81.3167,4421,14.7
"Goulds, Newfoundland and Labrador",47.4517,-52.7647,4418.00,721.30
"Saint Stephen, New Brunswick",45.2000,-67.2833,4415,326.6
"Waterloo, Quebec",45.3500,-72.5167,4410,360.2
"Nipawin, Saskatchewan",53.3572,-104.0192,4401,505.0
"Neuville, Quebec",46.7000,-71.5833,4392,61.0
"Saint-Cyrille-de-Wendover, Quebec",45.9333,-72.4333,4389,39.8
"Central Frontenac, Ontario",44.7167,-76.8000,4373,4.3
"Mont-Orford, Quebec",45.3661,-72.1838,4337.00,31.80
"Saint-Jean-de-Matha, Quebec",46.2300,-73.5300,4335,39.6
"Seguin, Ontario",45.2882,-79.8116,4304,7.2
"Tyendinaga, Ontario",44.3000,-77.2000,4297,13.7
"Hampton, New Brunswick",45.5330,-65.8330,4289,203.4
"Sussex, New Brunswick",45.7167,-65.5167,4282,478.3
"Grand Forks, British Columbia",49.0333,-118.4400,4274,388.1
"La Pocatière, Quebec",47.3667,-70.0333,4266,196.3
"Caraquet, New Brunswick",47.7853,-64.9592,4248,62.1
"Saint-Étienne-des-Grès, Quebec",46.4333,-72.7667,4217,40.2
"Altona, Manitoba",49.1044,-97.5625,4212,445.2
"Stellarton, Nova Scotia",45.5567,-62.6600,4208,468.1
"Wolfville, Nova Scotia",45.0833,-64.3667,4195,649.8
"New Maryland, New Brunswick",45.8911,-66.6847,4174,195.7
"Port Hardy, British Columbia",50.7225,-127.4928,4132,106.7
"Saint-Donat, Quebec",46.3167,-74.2167,4130,11.7
"Château-Richer, Quebec",46.9667,-71.0167,4126,18.0
"Madawaska Valley, Ontario",45.5000,-77.6667,4123,6.1
"Deep River, Ontario",46.1000,-77.4917,4109,82.0
"Asphodel-Norwood, Ontario",44.3531,-78.0183,4109,25.5
"Red Lake, Ontario",51.0333,-93.8333,4107,6.7
"Métabetchouan-Lac-à-la-Croix, Quebec",48.4333,-71.8667,4097,21.9
"Berthierville, Quebec",46.0833,-73.1833,4091,596.8
"Vermilion, Alberta",53.3542,-110.8528,4084,315.8
"Niverville, Manitoba",49.6056,-97.0417,4083,1767.5
"Hastings Highlands, Ontario",45.2333,-77.9333,4078,4.2
"Carstairs, Alberta",51.5619,-114.0953,4077,342.1
"Danville, Quebec",45.7833,-72.0167,4070,26.7
"Channel-Port aux Basques, Newfoundland and Labrador",47.5694,-59.1361,4067,104.9
"Battleford, Saskatchewan",52.7383,-108.3153,4065,174.2
"Lac-Etchemin, Quebec",46.4000,-70.5000,4061,25.8
"Saint-Antonin, Quebec",47.7667,-69.4833,4027,22.9
"Saint-Jacques, Quebec",45.9500,-73.5667,4021,59.7
"Swan River, Manitoba",52.1058,-101.2667,4014,560.4
"Sutton, Quebec",45.0910,-72.5792,4012.00,16.30
"Northern Bruce Peninsula, Ontario",45.0800,-81.3800,3999,5.1
"L’Islet-sur-Mer, Quebec",47.1000,-70.3500,3999,33.3
"Carleton-sur-Mer, Quebec",48.1000,-66.1333,3991,18.0
"Oka, Quebec",45.4700,-74.0800,3969,69.3
"Prescott, Ontario",44.7167,-75.5167,3965,1273.5
"Amaranth, Ontario",43.9833,-80.2333,3963,15.0
"Marmora and Lake, Ontario",44.6425,-77.7372,3953,7.1
"Maniwaki, Quebec",46.3750,-75.9667,3930,677.7
"Morin-Heights, Quebec",45.9000,-74.2500,3925,69.5
"Dundas, New Brunswick",46.3155,-64.6947,3914.00,22.40
"Napierville, Quebec",45.1833,-73.4000,3899,796.6
"Crabtree, Quebec",45.9667,-73.4667,3887,155.0
"Bancroft, Ontario",45.0500,-77.8500,3881,16.9
"Saint-Tite, Quebec",46.7333,-72.5667,3880,41.9
"Howick, Ontario",43.9000,-81.0700,3873,13.4
"Dutton/Dunwich, Ontario",42.6667,-81.5000,3866,13.1
"Callander, Ontario",46.1781,-79.4125,3863.00,36.40
"Simonds, New Brunswick",45.3145,-65.8030,3843.00,13.70
"Baie-d’Urfé, Quebec",45.4167,-73.9167,3823,633.9
"New Richmond, Quebec",48.1667,-65.8667,3810,22.6
"Perth South, Ontario",43.3000,-81.1500,3810,9.7
"Roxton Pond, Quebec",45.4833,-72.6667,3786,38.8
"Sparwood, British Columbia",49.7331,-114.8853,3784,19.4
"Claresholm, Alberta",50.0194,-113.5783,3780,465.9
"Breslau, Ontario",43.4816,-80.4080,3778.00,691.90
"Montague, Ontario",44.9667,-75.9667,3761,13.4
"Cumberland, British Columbia",49.6206,-125.0261,3753,128.9
"Beaupré, Quebec",47.0500,-70.9000,3752,163.4
"Saint-André-Avellin, Quebec",45.7167,-75.0667,3749,27.2
"Saint-Ambroise-de-Kildare, Quebec",46.0833,-73.5500,3747,55.3
"East Angus, Quebec",45.4833,-71.6667,3741,472.7
"Rossland, British Columbia",49.0786,-117.7992,3729,62.4
"Mackenzie, British Columbia",55.3381,-123.0944,3714,22.6
"Golden, British Columbia",51.3019,-116.9667,3708,325.0
"Raymond, Alberta",49.4658,-112.6508,3708,557.1
"Saint-Adolphe-d'Howard, Quebec",45.9700,-74.3300,3702,26.6
"Warwick, Ontario",43.0000,-81.8917,3692,12.7
"Bowen Island, British Columbia",49.3833,-123.3833,3680,73.4
"Bonnechere Valley, Ontario",45.5333,-77.1000,3674,6.2
"Windsor, Nova Scotia",44.9803,-64.1292,3648,400.6
"Pincher Creek, Alberta",49.4861,-113.9500,3642,361.1
"Alnwick, New Brunswick",47.2656,-65.2292,3640.00,5.40
"Westville, Nova Scotia",45.5500,-62.7000,3628,254.9
"Fruitvale, British Columbia",49.1161,-117.5414,3627,1363.5
"Pasadena, Newfoundland and Labrador",49.0161,-57.6050,3620,73.6
"Saint-Prosper, Quebec",46.2167,-70.4833,3605,27.0
"Ormstown, Quebec",45.1300,-74.0000,3595,25.2
"Cardston, Alberta",49.2025,-113.3019,3585,417.5
"Westbank, British Columbia",49.8423,-119.6743,3581.00,80.60
"De Salaberry, Manitoba",49.4403,-96.9844,3580,5.3
"Headingley, Manitoba",49.8681,-97.3908,3579,33.4
"Grande Cache, Alberta",53.8773,-119.1199,3571.00,102.10
"Atholville, New Brunswick",47.9894,-66.7125,3570,29.8
"Saint-Agapit, Quebec",46.5667,-71.4333,3567,54.5
"Prince Albert No. 461, Saskatchewan",53.1089,-105.6574,3562.00,3.50
"Casselman, Ontario",45.3000,-75.0833,3548,693.4
"Saint-Ambroise, Quebec",48.5500,-71.3333,3546,23.5
"Hay River, Northwest Territories",60.7531,-115.9004,3528.00,26.50
"Mistissini, Quebec",50.5707,-73.6829,3523.00,4.10
"Studholm, New Brunswick",45.8133,-65.5747,3522.00,7.80
"Lumby, British Columbia",50.2494,-118.9656,3500,379.5
"Saint-Faustin--Lac-Carré, Quebec",46.0813,-74.4668,3499.00,28.80
"Morris-Turnberry, Ontario",43.8500,-81.2500,3496,9.1
"Placentia, Newfoundland and Labrador",47.2458,-53.9611,3496,60.20
"Saint-Pascal, Quebec",47.5333,-69.8000,3490,58.8
"Mulmur, Ontario",44.1917,-80.1083,3478,12.1
"Blind River, Ontario",46.1833,-82.9500,3472,6.6
"Dunham, Quebec",45.1333,-72.8000,3471,17.8
"Havre-Saint-Pierre, Quebec",50.2333,-63.6000,3460,1.2
"Saint-Anselme, Quebec",46.6333,-70.9667,3458,46.9
"Trois-Pistoles, Quebec",48.1200,-69.1800,3456,450.9
"Grande-Rivière, Quebec",48.4000,-64.5000,3456,39.5
"Powassan, Ontario",46.0825,-79.3619,3455,15.4
"Malartic, Quebec",48.1333,-78.1333,3449,23.2
"Bonavista, Newfoundland and Labrador",48.6597,-53.1208,3448,109.4
"Killarney - Turtle Mountain, Manitoba",49.1775,-99.6906,3429.00,3.70
"Woodlands, Manitoba",50.2408,-97.7358,3416.00,2.90
"Lewisporte, Newfoundland and Labrador",49.2300,-55.0700,3409,92.4
"Saint-Denis-de-Brompton, Quebec",45.4500,-72.0833,3402,48.1
"Invermere, British Columbia",50.5083,-116.0303,3391,315.9
"Salisbury, New Brunswick",46.0776,-65.1996,3388.00,3.90
"Bifrost-Riverton, Manitoba",51.0603,-97.1436,3378,2.1
"Buckland No. 491, Saskatchewan",53.3276,-105.7804,3375.00,4.30
"Cartier, Manitoba",49.9161,-97.7000,3368,6.1
"Sainte-Anne-des-Lacs, Quebec",45.8500,-74.1333,3363,135.8
"Highlands East, Ontario",44.9667,-78.2500,3343,4.7
"Alexander, Manitoba",50.4222,-96.0750,3333.00,2.10
"Sainte-Claire, Quebec",46.6000,-70.8667,3325,37.8
"Percé, Quebec",48.5333,-64.2167,3312,7.7
"Saint-Jean-Port-Joli, Quebec",47.2167,-70.2667,3304,47.9
"East Hawkesbury, Ontario",45.5167,-74.4667,3296,14.0
"Bright, New Brunswick",46.1205,-67.0545,3289.00,8.10
"Penhold, Alberta",52.1333,-113.8667,3277,619.9
"Saint-André-d'Argenteuil, Quebec",45.5667,-74.3333,3275,33.5
"Saint-Côme--Linière, Quebec",46.0667,-70.5167,3274,21.8
"Saint-Sulpice, Quebec",45.8333,-73.3500,3273,90.0
"Marathon, Ontario",48.7500,-86.3667,3273,19.2
"Forestville, Quebec",48.7333,-69.0833,3270,16.8
"Inuvik, Northwest Territories",68.3407,-133.6096,3243.00,51.90
"Richmond, Quebec",45.6667,-72.1500,3232,460.2
"Lake Cowichan, British Columbia",48.8258,-124.0542,3226,369.6
"Sables-Spanish Rivers, Ontario",46.2333,-82.0000,3214,3.9
"Hillsburg-Roblin-Shell River, Manitoba",51.3343,-101.2929,3214.00,1.90
"Port Hawkesbury, Nova Scotia",45.6153,-61.3642,3214,396.6
"Three Hills, Alberta",51.7072,-113.2647,3212,475.7
"Lorette, Manitoba",49.7414,-96.8761,3208.00,685.00
"Paspebiac, Quebec",48.0333,-65.2500,3198,33.8
"Saint-Thomas, Quebec",46.0167,-73.3500,3193,33.6
"Saint-Jean-Baptiste, Quebec",45.5167,-73.1167,3191,44.3
"Portneuf, Quebec",46.7000,-71.8833,3187,29.1
"Pictou, Nova Scotia",45.6814,-62.7119,3186,397.6
"Tisdale, Saskatchewan",52.8500,-104.0500,3180,491.5
"Lake of Bays, Ontario",45.3043,-79.0180,3167.00,4.70
"High Level, Alberta",58.5169,-117.1361,3159,108.2
"Gibbons, Alberta",53.8278,-113.3228,3159,421.3
"Bishops Falls, Newfoundland and Labrador",49.0167,-55.5167,3156,112.2
"WestLake-Gladstone, Manitoba",50.2862,-98.8415,3154.00,1.70
"Normandin, Quebec",48.8333,-72.5333,3137,14.8
"Saint-Alphonse-Rodriguez, Quebec",46.1833,-73.7000,3134,32.0
"Beauséjour, Manitoba",50.0622,-96.5161,3126,584.4
"Dalhousie, New Brunswick",48.1000,-66.6167,3126,205.3
"Saint-Alphonse-de-Granby, Quebec",45.3333,-72.8167,3125,62.6
"Lac du Bonnet, Manitoba",50.2577,-96.1209,3121.00,2.80
"Clermont, Quebec",47.6833,-70.2333,3118,62.8
"Virden, Manitoba",49.8508,-100.9317,3114,370.20
"Compton, Quebec",45.2333,-71.8167,3112,15.1
"White City, Saskatchewan",50.4353,-104.3572,3099,7.5
"Ellison, British Columbia",49.9646,-119.3178,3094.00,37.60
"Mont-Saint-Grégoire, Quebec",45.3333,-73.1667,3086,38.8
"Wellington, New Brunswick",46.4768,-64.7478,3079.00,16.70
"Merrickville, Ontario",44.8539,-75.8269,3067.00,14.30
"Saint-Liboire, Quebec",45.6500,-72.7667,3051,41.9
"Dégelis, Quebec",47.5500,-68.6500,3051,5.5
"Morris, Manitoba",49.3986,-97.4592,3047.00,2.90
"Saint-Alexis-des-Monts, Quebec",46.4667,-73.1333,3046,2.9
"Cap-Saint-Ignace, Quebec",47.0333,-70.4667,3045,14.6
"Saint-Anaclet-de-Lessard, Quebec",48.4800,-68.4200,3035,23.9
"Carman, Manitoba",49.4992,-98.0008,3027,702.4
"Athens, Ontario",44.6250,-75.9500,3013,23.6
"Melancthon, Ontario",44.1500,-80.2667,3008,9.7
"Cap Santé, Quebec",46.6667,-71.7833,2996,54.7
"Harbour Grace, Newfoundland and Labrador",47.6917,-53.2167,2995,88.8
"Houston, British Columbia",54.3975,-126.6419,2993,41.0
"Adelaide-Metcalfe, Ontario",42.9500,-81.7000,2990,9.0
"Crossfield, Alberta",51.4333,-114.0333,2983,249.3
"Springdale, Newfoundland and Labrador",49.4974,-56.0727,2971,168.80
"Fort Macleod, Alberta",49.7256,-113.3975,2967,126.8
"Athabasca, Alberta",54.7197,-113.2856,2965,168.0
"Enderby, British Columbia",50.5508,-119.1397,2964,695.8
"Saint-Ferréol-les-Neiges, Quebec",47.1167,-70.8500,2964,35.6
"Laurentian Hills, Ontario",46.1333,-77.5500,2961,4.6
"Grand Valley, Ontario",43.9500,-80.3667,2956,18.7
"Senneterre, Quebec",48.3833,-77.2333,2953,0.2
