"city, province_name",utm easting,utm northing,zone number,zone letter,population,density
"New Westminster, British Columbia",506475.39412605367,5450460.090247823,10,U,70996,4543.4
"Châteauguay, Quebec",597865.6439420067,5025924.915172293,18,T,70812,1278.9
"Saint-Jérôme, Quebec",577733.9347792696,5070457.302364789,18,T,69598,756.3
"Drummondville, Quebec",695281.3307804997,5084161.492240087,18,T,68601,1315.4
"Saint John, New Brunswick",729319.6127731595,5018281.7747149095,19,T,67575,213.8
"Caledon, Ontario",591064.7457952356,4857691.834400239,17,T,66502,96.6
"St. Albert, Alberta",326376.5852894762,5945594.398754349,12,U,65589,1353.9
"Granby, Quebec",677402.6500643301,5029886.148068747,18,T,63433,415.3
"Medicine Hat, Alberta",523092.6130767275,5543316.932931785,12,U,63260,564.6
"Grande Prairie, Alberta",385690.35884851275,6115267.9123307,11,U,63166,475.9
"St. Thomas, Ontario",485005.1179604907,4735845.71106156,17,T,61707,1067.3
"Airdrie, Alberta",708161.5361997886,5686497.729977084,11,U,61581,728.2
"Halton Hills, Ontario",584704.4335013449,4831314.661467003,17,T,61161,221.4
"Saint-Hyacinthe, Quebec",659828.0590005743,5053505.551212316,18,T,59614,294.5
"Lac-Brome, Quebec",694982.480227284,5010023.541287351,18,T,58889,27.3
"Port Coquitlam, British Columbia",515926.5839852945,5456660.380235267,10,U,58612,2009.4
"Fredericton, New Brunswick",682618.1914016394,5092704.194334143,19,T,58220,439.2
"Blainville, Quebec",587238.1846092113,5057993.256433541,18,T,56363,1030.9
"Aurora, Ontario",622931.5008256803,4873015.619398036,17,T,55445,1112.3
"Welland, Ontario",644041.4434850338,4760474.60974683,17,T,52293,645.3
"North Bay, Ontario",619369.1501951012,5128547.887826832,17,T,51553,161.6
"Beloeil, Quebec",640461.6788692706,5047482.473671435,18,T,50796,862.8
"Belleville, Ontario",309455.1698840395,4893150.135413899,18,T,50716,205.1
"Mirabel, Quebec",571428.3573414108,5055569.908722051,18,T,50513,104.1
"Shawinigan, Quebec",672433.1451928292,5159474.125667003,18,T,50060,68.2
"Dollard-des-Ormeaux, Quebec",592474.668041295,5037322.133138283,18,T,49637,3286.7
"Brandon, Manitoba",431702.81071338424,5522197.016756614,14,U,48859,599.1
"Rimouski, Quebec",534753.8553922434,5366424.50102218,19,U,48664,143.3
"Cornwall, Ontario",520482.1723171456,4986038.186215745,18,T,46589,756.8
"Stouffville, Ontario",640383.9661076389,4869662.907273819,17,T,45837,222.3
"Georgina, Ontario",624974.5429098852,4906387.561803594,17,T,45418,157.8
"Victoriaville, Quebec",270492.19993096904,5103882.525103945,19,T,45309,516.2
"Vernon, British Columbia",338083.6758712167,5570787.086938132,11,U,44600,417.7
"Duncan, British Columbia",447993.57654682454,5403097.044004465,10,U,44451,2387.1
"Saint-Eustache, Quebec",585832.8283180278,5046861.762805433,18,T,44154,634.3
"Quinte West, Ontario",294849.65165950335,4895435.570957277,18,T,43577,88.2
"Charlottetown, Prince Edward Island",489615.11164791154,5120755.850714461,20,T,42602,779.7
"Mascouche, Quebec",608892.1565228343,5067224.42790893,18,T,42491,398.4
"West Vancouver, British Columbia",487896.9052258547,5468234.743260311,10,U,42473,486.8
"Salaberry-de-Valleyfield, Quebec",568270.4477873568,5011090.960731864,18,T,42410,395.5
"Rouyn-Noranda, Quebec",647273.7155108105,5344132.6067761015,17,U,42334,7.0
"Timmins, Ontario",475362.40644456964,5368227.751103871,17,U,41788,14.0
"Sorel-Tracy, Quebec",645739.8605923336,5099471.611209252,18,T,41629,241.1
"New Tecumseth, Ontario",600077.5852937069,4881884.401309823,17,T,41439,151.1
"Woodstock, Ontario",520602.2888699861,4775349.0047368,17,T,40902,835.3
"Boucherville, Quebec",620881.7035344611,5050774.6750711305,18,T,40753,575.5
"Mission, British Columbia",550245.4102182433,5442547.153973121,10,U,38833,170.6
"Vaudreuil-Dorion, Quebec",575658.7123237498,5027841.372829741,18,T,38117,524.1
"Brant, Ontario",551521.511567195,4773968.884122783,17,T,36707,43.5
"Lakeshore, Ontario",363772.7825117883,4677732.290090513,17,T,36611.00,69.00
"Innisfil, Ontario",613009.0830173616,4906169.940750826,17,T,36566,139.2
"Prince Albert, Saskatchewan",449900.52018972975,5894781.821908086,13,U,35926,534.4
"Langford Station, British Columbia",462599.38455475203,5366508.063900162,10,U,35342,885.0
"Bradford West Gwillimbury, Ontario",609328.6660370234,4887586.406033226,17,T,35325,175.7
"Campbell River, British Columbia",339016.94980893575,5543763.741064267,10,U,35138,1143.9
"Spruce Grove, Alberta",307810.5565001814,5936814.6483023595,12,U,34066,1057.9
"Moose Jaw, Saskatchewan",460770.66297025647,5582506.651448343,13,U,33890,710.7
"Penticton, British Columbia",312541.6463756057,5485272.009072231,11,U,33761,801.8
"Port Moody, British Columbia",512239.96598730853,5458941.06609114,10,U,33551,1295.9
"Leamington, Ontario",369010.14775734313,4658394.6628071815,17,T,32991,105.3
"East Kelowna, British Columbia",314345.5321648241,5526543.671918216,11,U,32655,264.4
