"city, province_name",x,y,population,density
"Granby, Quebec",-8096633.919714404,5684714.657219866,63433,415.3
"Medicine Hat, Alberta",-12320562.942272535,6453500.680802429,63260,564.6
"Grande Prairie, Alberta",-13224165.512939695,7395085.723499328,63166,475.9
"St. Thomas, Ontario",-9037283.616917567,5277787.01881734,61707,1067.3
"Airdrie, Alberta",-12692024.95110061,6673055.182951993,61581,728.2
"Halton Hills, Ontario",-8899993.288922222,5408361.233223647,61161,221.4
"Saint-Hyacinthe, Quebec",-8120756.853369308,5719136.453741681,59614,294.5
"Lac-Brome, Quebec",-8072522.118008581,5655701.224597881,58889,27.3
"Port Coquitlam, British Columbia",-13667929.531038001,6319520.096548622,58612,2009.4
"Fredericton, New Brunswick",-7418675.95688521,5774518.01223398,58220,439.2
"Blainville, Quebec",-8224283.979807051,5727623.276760169,56363,1030.9
"Aurora, Ontario",-8846192.579021834,5465442.183322753,55445,1112.3
"Welland, Ontario",-8820210.609870683,5309430.2820075415,52293,645.3
"North Bay, Ontario",-8844333.543525586,5828555.457219464,51553,161.6
"Beloeil, Quebec",-8148586.726067625,5711182.411310465,50796,862.8
"Belleville, Ontario",-8614269.551903127,5491275.737184535,50716,205.1
"Mirabel, Quebec",-8246915.232285323,5724437.781233704,50513,104.1
"Shawinigan, Quebec",-8098492.955210652,5871633.060633663,50060,68.2
"Dollard-des-Ormeaux, Quebec",-8217237.456039837,5697930.805863978,49637,3286.7
"Brandon, Manitoba",-11126383.104787694,6420045.404262844,48859,599.1
"Rimouski, Quebec",-7628724.704063037,6182047.999176792,48664,143.3
"Cornwall, Ontario",-8320018.741889266,5625851.837826288,46589,756.8
"Stouffville, Ontario",-8822069.645366931,5460290.376939037,45837,222.3
"Georgina, Ontario",-8842474.508029338,5511985.85679308,45418,157.8
"Victoriaville, Quebec",-8011296.398072282,5788365.378851466,45309,516.2
"Vernon, British Columbia",-13277298.305895327,6492644.582040269,44600,417.7
"Duncan, British Columbia",-13771100.435105208,6237394.496044552,44451,2387.1
"Saint-Eustache, Quebec",-8226510.369622918,5711707.159787091,44154,634.3
"Quinte West, Ontario",-8634685.546514614,5493852.236907011,43577,88.2
"Charlottetown, Prince Edward Island",-7028122.655386089,5818941.441556318,42602,779.7
"Mascouche, Quebec",-8193114.522384935,5740376.655556497,42491,398.4
"West Vancouver, British Columbia",-13710854.326687887,6337313.323125424,42473,486.8
"Salaberry-de-Valleyfield, Quebec",-8252113.852505369,5660965.110251664,42410,395.5
"Rouyn-Noranda, Quebec",-8796098.80816486,6145755.776039982,42334,7.0
"Timmins, Ontario",-9053981.540536556,6184851.279582859,41788,14.0
"Sorel-Tracy, Quebec",-8139313.812484546,5785687.175369945,41629,241.1
"New Tecumseth, Ontario",-8877729.390763568,5478342.112427782,41439,151.1
"Woodstock, Ontario",-8988681.527237223,5331871.672663353,40902,835.3
"Boucherville, Quebec",-8176416.598765943,5716479.015326831,40753,575.5
"Mission, British Columbia",-13615620.502314243,6297578.011089146,38833,170.6
"Vaudreuil-Dorion, Quebec",-8241349.25774566,5684714.657219866,38117,524.1
"Brant, Ontario",-8946380.120735778,5329751.679578944,36707,43.5
"Lakeshore, Ontario",-9200678.365503933,5196983.316497616,36611.00,69.00
"Innisfil, Ontario",-8859172.431648327,5511985.85679308,36566,139.2
"Prince Albert, Saskatchewan",-11772036.15138868,7020078.532642097,35926,534.4
"Langford Station, British Columbia",-13748602.766015885,6182148.699869426,35342,885.0
"Bradford West Gwillimbury, Ontario",-8864738.406187993,5486093.891735682,35325,175.7
"Campbell River, British Columbia",-13942487.923130533,6450502.563985134,35138,1143.9
"Spruce Grove, Alberta",-12679379.056946496,7084451.379019726,34066,1057.9
"Moose Jaw, Saskatchewan",-11749983.760262532,6514669.1447665,33890,710.7
"Penticton, British Columbia",-13312542.056680476,6358605.363501748,33761,801.8
"Port Moody, British Columbia",-13673562.29727214,6323034.775984867,33551,1295.9
"Leamington, Ontario",-9193130.90402815,5170976.022910572,32991,105.3
"East Kelowna, British Columbia",-13311952.06337927,6422497.227650088,32655,264.4
"Côte-Saint-Luc, Quebec",-8200606.324115321,5695612.999090245,32448.00,4662.50
"Val-d’Or, Quebec",-8658797.348220436,6123507.424977484,31862,9.0
"Owen Sound, Ontario",-9009453.744219247,5553563.267450283,31820,1311.1
"Stratford, Ontario",-9014863.8714718,5368582.7777820965,31465,1167.5
"Lloydminster, Saskatchewan",-12245700.584714059,7034642.716587111,31410,742.2
"Pointe-Claire, Quebec",-8217237.456039837,5692645.178123244,31380,1662.0
"Orillia, Ontario",-8840626.604482168,5558767.960998884,31166,1090.3
"Alma, Quebec",-7976041.515338052,6198847.904540942,30904,158.0
"Orangeville, Ontario",-8918550.24803746,5452560.352713678,30734,69.3
"Fort Erie, Ontario",-8796098.80816486,5299301.320163474,30710,184.7
"LaSalle, Ontario",-9246942.745877618,5193495.528023193,30180,461.8
"Sainte-Julie, Quebec",-8163425.614190369,5713822.367752549,30104,607.8
"Leduc, Alberta",-12640239.123983579,7031124.783532882,29993,706.7
"North Cowichan, British Columbia",-13772358.345351173,6244982.836986035,29676,147.3
"Chambly, Quebec",-8158304.917613879,5689646.615391288,29120.00,1158.70
"Okotoks, Alberta",-12687638.963163355,6572792.813633036,28881,1471.0
"Sept-Îles, Quebec",-7389755.153177117,6483889.386270711,28534,16.1
